"ID","BAND_ID","SPINOFF_ID"
274,"67082dc95f2a9b4b88ae0819","67082dca5f2a9b4b88ae081a"
273,"67082dc25f2a9b4b88ae0812","67082dc25f2a9b4b88ae0813"
275,"67082dc95f2a9b4b88ae0819","6708325bf5951699062f9105"
304,"6777fd1ed4ceb93f0b696df0","67082d505f2a9b4b88ae07a1"
305,"6777fd1ed4ceb93f0b696def","67082d505f2a9b4b88ae07a1"
306,"6777fd1dd4ceb93f0b696dee","67082d505f2a9b4b88ae07a1"
53,"6706f02c9ded543374d12d97","6706f02f9ded543374d12d9f"
54,"6706f0b490b652736e31074f","6706f02f9ded543374d12d9f"
55,"6706f02c9ded543374d12d95","6706f02f9ded543374d12d9f"
56,"6706f0329ded543374d12da7","6706f02f9ded543374d12d9f"
57,"6706f02f9ded543374d12d9f","6706f10145fe7efa4ac730f6"
94,"6706f22d15c2b9798b2b09c9","6706f2fb15c2b9798b2b0ade"
59,"6706f02c9ded543374d12d96","6706f0a290b652736e310733"
78,"6706f0ad90b652736e310748","6706f1e115c2b9798b2b097b"
61,"6706f0ac90b652736e310747","6706f0ad90b652736e310748"
62,"6706f0ad90b652736e310748","6706f1e215c2b9798b2b097c"
79,"6706f0b390b652736e31074e","6706f1e215c2b9798b2b097d"
86,"6706f28115c2b9798b2b0a3d","6706f20415c2b9798b2b09a5"
65,"6706f0ad90b652736e310748","6706f02f9ded543374d12d9e"
66,"6706f0ad90b652736e310748","6706f0ae90b652736e310749"
67,"6706f0ad90b652736e310748","6706f10145fe7efa4ac730f6"
68,"6706f0ad90b652736e310748","6706f1e215c2b9798b2b097e"
98,"6706f1cf15c2b9798b2b0960","6706f22e15c2b9798b2b09cc"
99,"6706f23515c2b9798b2b09d7","6706f1cf15c2b9798b2b0961"
100,"6706f23515c2b9798b2b09d7","6706f23615c2b9798b2b09d8"
72,"6706f1cf15c2b9798b2b0960","6706f22e15c2b9798b2b09cb"
73,"6706f21115c2b9798b2b09b5","6706f1cf15c2b9798b2b0961"
101,"6706f28115c2b9798b2b0a3c","6706f39515c2b9798b2b0b98"
75,"6706f21215c2b9798b2b09b6","6706f1cf15c2b9798b2b0961"
76,"6706f1cf15c2b9798b2b0961","6706f23615c2b9798b2b09d8"
80,"6706f1e215c2b9798b2b097e","6706f1e215c2b9798b2b097d"
81,"6706f0ae90b652736e310749","6706f1e215c2b9798b2b097d"
82,"6706f1e215c2b9798b2b097c","6706f1e215c2b9798b2b097d"
83,"6706f25115c2b9798b2b09f1","6706f1e215c2b9798b2b097d"
84,"6706f02f9ded543374d12d9e","6706f1e215c2b9798b2b097d"
85,"6706f0ad90b652736e310748","6706f1e215c2b9798b2b097d"
104,"6706f28615c2b9798b2b0a43","6706f3a215c2b9798b2b0bab"
88,"6706f28715c2b9798b2b0a44","6706f20415c2b9798b2b09a6"
89,"6706f20415c2b9798b2b09a5","6706f20415c2b9798b2b09a6"
109,"6706f34415c2b9798b2b0b43","6706f34315c2b9798b2b0b42"
91,"6706f28b15c2b9798b2b0a4a","6706f20515c2b9798b2b09a8"
92,"6706f20515c2b9798b2b09a8","6706f28b15c2b9798b2b0a4b"
93,"6706f24d15c2b9798b2b09ee","6706f1e115c2b9798b2b097b"
95,"6706f22d15c2b9798b2b09c9","6706f1cf15c2b9798b2b0960"
96,"6706f22d15c2b9798b2b09c9","6706f2fa15c2b9798b2b0add"
97,"6706f22d15c2b9798b2b09ca","6706f1cf15c2b9798b2b0960"
102,"6706f28115c2b9798b2b0a3c","6706f28115c2b9798b2b0a3d"
103,"6706f28115c2b9798b2b0a3c","6706f20415c2b9798b2b09a5"
105,"6706f28615c2b9798b2b0a43","6706f3a215c2b9798b2b0baa"
106,"6706f28615c2b9798b2b0a43","6706f20415c2b9798b2b09a6"
121,"6706f43015c2b9798b2b0c61","6706f38a15c2b9798b2b0b8a"
112,"6706f35415c2b9798b2b0b52","6706f3e215c2b9798b2b0bfc"
113,"6706f3ea15c2b9798b2b0c04","6706f35415c2b9798b2b0b53"
114,"6706f35515c2b9798b2b0b57","6706f35415c2b9798b2b0b53"
115,"6706f35415c2b9798b2b0b52","6706f35415c2b9798b2b0b53"
117,"6706f3e915c2b9798b2b0c03","6706f35415c2b9798b2b0b53"
118,"6706f3ea15c2b9798b2b0c05","6706f35415c2b9798b2b0b53"
119,"6706f3eb15c2b9798b2b0c06","6706f35415c2b9798b2b0b53"
120,"6706f3e915c2b9798b2b0c02","6706f35415c2b9798b2b0b53"
122,"6706f42f15c2b9798b2b0c60","6706f38a15c2b9798b2b0b8a"
124,"6706f38a15c2b9798b2b0b8a","6706f43015c2b9798b2b0c62"
126,"6706f2c215c2b9798b2b0a8a","6706f2c215c2b9798b2b0a8b"
127,"6706f3b615c2b9798b2b0bc3","6706f2c215c2b9798b2b0a8b"
128,"6706f20415c2b9798b2b09a5","6706f2c215c2b9798b2b0a8b"
129,"6706f46315c2b9798b2b0c93","6706f2c215c2b9798b2b0a8b"
131,"6706f46415c2b9798b2b0c95","6706f2c215c2b9798b2b0a8b"
132,"6706f46315c2b9798b2b0c94","6706f2c215c2b9798b2b0a8b"
23,"6706f02e9ded543374d12d9a","6706f02c9ded543374d12d95"
24,"6706f02d9ded543374d12d99","6706f02c9ded543374d12d95"
49,"6706f02c9ded543374d12d96","6706f02f9ded543374d12d9d"
50,"6706f02c9ded543374d12d97","6706f02f9ded543374d12d9d"
27,"6706f0329ded543374d12da7","6706f02c9ded543374d12d95"
303,"6777fbd31ea44d07c041e068","67082d3b5f2a9b4b88ae0789"
29,"6706f0a390b652736e310735","6706f02c9ded543374d12d96"
30,"6706f0329ded543374d12da7","6706f02c9ded543374d12d96"
307,"67082d875f2a9b4b88ae07d9","677813cf2ad4b9f331704b16"
308,"67082d875f2a9b4b88ae07d9","677813cf2ad4b9f331704b15"
44,"6706f0329ded543374d12da7","6706f02d9ded543374d12d99"
45,"6706f0329ded543374d12da7","6706f02e9ded543374d12d9b"
35,"6706f0d145fe7efa4ac730bb","6706f02c9ded543374d12d97"
36,"6706f02e9ded543374d12d9c","6706f02c9ded543374d12d97"
15,"6706f0329ded543374d12da7","6706f02e9ded543374d12d9c"
16,"6706f0329ded543374d12da7","6706f02e9ded543374d12d9a"
309,"67082d875f2a9b4b88ae07d9","677813ce2ad4b9f331704b14"
18,"6706f0329ded543374d12da7","6706f02d9ded543374d12d98"
46,"6706f02e9ded543374d12d9b","6706f02d9ded543374d12d99"
20,"6706f0329ded543374d12da7","6706f02f9ded543374d12d9e"
51,"6706f02e9ded543374d12d9c","6706f02f9ded543374d12d9d"
310,"67082d875f2a9b4b88ae07d9","67082caf5f2a9b4b88ae06fb"
34,"6706f02c9ded543374d12d96","6706f02e9ded543374d12d9c"
37,"6706f0329ded543374d12da7","6706f02c9ded543374d12d97"
38,"6706f02c9ded543374d12d96","6706f02c9ded543374d12d97"
311,"67082d875f2a9b4b88ae07d9","677813ce2ad4b9f331704b13"
40,"6706f02c9ded543374d12d97","6706f02c9ded543374d12d95"
41,"6706f02c9ded543374d12d97","6706f0d245fe7efa4ac730be"
42,"6706f02c9ded543374d12d97","6706f0d245fe7efa4ac730bd"
47,"6706f02e9ded543374d12d9b","6706f02e9ded543374d12d9a"
48,"6706f02e9ded543374d12d9b","6706f0ac90b652736e310746"
52,"6706f0329ded543374d12da7","6706f02f9ded543374d12d9d"
312,"67082d875f2a9b4b88ae07d9","677813d02ad4b9f331704b17"
313,"67082d905f2a9b4b88ae07df","677813db2ad4b9f331704b23"
133,"6706f2c315c2b9798b2b0a8d","6706f46d15c2b9798b2b0ca7"
134,"6706f2c315c2b9798b2b0a8d","6706f46d15c2b9798b2b0ca6"
135,"6706f2c315c2b9798b2b0a8d","6706f46e15c2b9798b2b0ca8"
136,"6706f2c315c2b9798b2b0a8d","6706f46e15c2b9798b2b0ca9"
