"ID","BAND_ID","MEMBER_ID"
555,"6706f39b15c2b9798b2b0ba0","6706f28515c2b9798b2b0a41"
1560,"67082d1a5f2a9b4b88ae0764","6706f42615c2b9798b2b0c55"
557,"6706f39a15c2b9798b2b0b9e","6706f28515c2b9798b2b0a41"
558,"6706f39c15c2b9798b2b0ba1","6706f28515c2b9798b2b0a41"
1561,"67082d195f2a9b4b88ae0762","6706f42615c2b9798b2b0c55"
560,"6706f20415c2b9798b2b09a6","6706f28515c2b9798b2b0a41"
561,"6706f28615c2b9798b2b0a43","6706f3a015c2b9798b2b0ba6"
1562,"67082d185f2a9b4b88ae0761","6706f42615c2b9798b2b0c55"
1563,"6706f38215c2b9798b2b0b80","6706f42615c2b9798b2b0c55"
1564,"67082d1a5f2a9b4b88ae0765","6706f42615c2b9798b2b0c55"
565,"6706f28715c2b9798b2b0a44","6706f3a715c2b9798b2b0bb2"
566,"6706f28715c2b9798b2b0a44","6706f28615c2b9798b2b0a42"
567,"6706f28715c2b9798b2b0a44","6706f3a615c2b9798b2b0bb0"
568,"6706f28715c2b9798b2b0a44","6706f3a815c2b9798b2b0bb4"
569,"6706f28715c2b9798b2b0a44","6706f3a615c2b9798b2b0baf"
570,"6706f28715c2b9798b2b0a44","6706f3a715c2b9798b2b0bb1"
571,"6706f28715c2b9798b2b0a44","6706f3a715c2b9798b2b0bb3"
572,"6706f28715c2b9798b2b0a44","6706f3a515c2b9798b2b0bae"
1565,"6706f38315c2b9798b2b0b81","6706f42615c2b9798b2b0c55"
1586,"6706f43015c2b9798b2b0c61","6706f42f15c2b9798b2b0c5e"
578,"6706f3b015c2b9798b2b0bbd","6706f28f15c2b9798b2b0a52"
579,"6706f3b015c2b9798b2b0bbe","6706f28f15c2b9798b2b0a52"
580,"6706f3b115c2b9798b2b0bc0","6706f28f15c2b9798b2b0a52"
581,"6706f20615c2b9798b2b09a9","6706f28f15c2b9798b2b0a52"
1569,"6706f38a15c2b9798b2b0b8a","6706f42d15c2b9798b2b0c5a"
1570,"67082d205f2a9b4b88ae076b","6706f42d15c2b9798b2b0c5a"
584,"6706f20615c2b9798b2b09a9","6706f29015c2b9798b2b0a54"
1571,"6706f38a15c2b9798b2b0b8a","6706f42e15c2b9798b2b0c5c"
1572,"6706f42f15c2b9798b2b0c5f","67082d295f2a9b4b88ae0777"
587,"6706f20915c2b9798b2b09ae","6706f29715c2b9798b2b0a5d"
1573,"6706f42f15c2b9798b2b0c5f","67082d285f2a9b4b88ae0773"
1574,"6706f42f15c2b9798b2b0c5f","67082d285f2a9b4b88ae0774"
1575,"6706f42f15c2b9798b2b0c5f","67082d275f2a9b4b88ae076f"
591,"6706f34315c2b9798b2b0b42","6706f3d015c2b9798b2b0be1"
1576,"6706f42f15c2b9798b2b0c5f","67082d295f2a9b4b88ae0775"
593,"6706f34315c2b9798b2b0b42","6706f3cc15c2b9798b2b0bd8"
1577,"6706f42f15c2b9798b2b0c5f","67082d285f2a9b4b88ae0772"
1578,"6706f42f15c2b9798b2b0c5f","67082d2a5f2a9b4b88ae077a"
596,"6706f34315c2b9798b2b0b42","6706f3d315c2b9798b2b0bea"
597,"6706f34315c2b9798b2b0b42","6706f3d115c2b9798b2b0be4"
598,"6706f34315c2b9798b2b0b42","6706f3cf15c2b9798b2b0be0"
599,"6706f34315c2b9798b2b0b42","6706f3d515c2b9798b2b0bee"
600,"6706f34315c2b9798b2b0b42","6706f3cd15c2b9798b2b0bda"
601,"6706f34315c2b9798b2b0b42","6706f30d15c2b9798b2b0b06"
602,"6706f34315c2b9798b2b0b42","6706f3cd15c2b9798b2b0bdb"
603,"6706f34315c2b9798b2b0b42","6706f3cd15c2b9798b2b0bd9"
1579,"6706f42f15c2b9798b2b0c5f","67082d2a5f2a9b4b88ae0778"
605,"6706f34315c2b9798b2b0b42","6706f3d315c2b9798b2b0be8"
606,"6706f34315c2b9798b2b0b42","6706f30d15c2b9798b2b0b05"
607,"6706f34315c2b9798b2b0b42","6706f26d15c2b9798b2b0a15"
1580,"6706f42f15c2b9798b2b0c5f","67082d2a5f2a9b4b88ae0779"
609,"6706f34315c2b9798b2b0b42","6706f3ce15c2b9798b2b0bdd"
1581,"6706f42f15c2b9798b2b0c5f","67082d285f2a9b4b88ae0771"
611,"6706f34315c2b9798b2b0b42","6706f3d415c2b9798b2b0bed"
612,"6706f34315c2b9798b2b0b42","6706f3cb15c2b9798b2b0bd4"
613,"6706f34315c2b9798b2b0b42","6706f3d015c2b9798b2b0be3"
614,"6706f34315c2b9798b2b0b42","6706f3ca15c2b9798b2b0bd2"
615,"6706f34315c2b9798b2b0b42","6706f3d315c2b9798b2b0be9"
616,"6706f34315c2b9798b2b0b42","6706f3d415c2b9798b2b0beb"
617,"6706f34315c2b9798b2b0b42","6706f3cb15c2b9798b2b0bd6"
618,"6706f34315c2b9798b2b0b42","6706f3cc15c2b9798b2b0bd7"
619,"6706f34315c2b9798b2b0b42","6706f26e15c2b9798b2b0a18"
620,"6706f34315c2b9798b2b0b42","6706f3d215c2b9798b2b0be7"
621,"6706f34315c2b9798b2b0b42","6706f3ca15c2b9798b2b0bd3"
622,"6706f34315c2b9798b2b0b42","6706f3cb15c2b9798b2b0bd5"
623,"6706f34415c2b9798b2b0b43","6706f3da15c2b9798b2b0bf4"
624,"6706f34415c2b9798b2b0b43","6706f26d15c2b9798b2b0a15"
625,"6706f34415c2b9798b2b0b43","6706f3da15c2b9798b2b0bf5"
626,"6706f34415c2b9798b2b0b43","6706f3d915c2b9798b2b0bf3"
1582,"6706f42f15c2b9798b2b0c5f","6706f42d15c2b9798b2b0c5a"
