"ID","NAME","LINK","TYPE","EXTRAS","DISCOVERED","ERROR"
"67082d425f2a9b4b88ae078f","Adam Siegel","Adam Siegel","person",{"image":"Adam Siegel 1987.jpg","caption":"Adam Siegel on stage with Excel on tour in Netherlands in 1989","birth_date":"{{birth date and age |1969|3|9}}","origin":"[[Venice, California]], United States","alias":[{"name":"Torg"}],"occupation":[{"name":"Musician"},{"name":"singer-songwriter"},{"name":"actor"},{"name":"producer"},{"link":"graphic designer","name":"graphic designer"}],"instrument":[{"name":"Guitar"},{"name":"bass"}],"years_active":"1983–present","associated_acts":[{"link":"Excel (band)","name":"Excel"},{"name":"Dan Clements"},{"link":"Shaun Ross (musician)","name":"Shaun Ross"},{"link":"Greg Saenz","name":"Greg Saenz"},{"link":"Infectious Grooves","name":"Infectious Grooves"},{"link":"My Head","name":"My Head"},{"link":"Suicidal Tendencies","name":"Suicidal Tendencies"},{"link":"Cyco Miko","name":"Cyco Miko"},{"link":"Eels (band)","name":"Eels"},{"name":"The Blondes"},{"link":"Bodies of Water","name":"Bodies of Water"}]},true,""
"6706f69015c2b9798b2b0f23","Adam Stanger","Adam Stanger","person",{"instrument":[{"name":"Bass"}],"occupation":[{"name":"Musician"}],"years_active":"1990–present","associated_acts":[{"name":"Big Hate"},{"link":"Comes with the Fall","name":"Comes with the Fall"},{"link":"Jerry Cantrell","name":"Jerry Cantrell"},{"name":"Melt"},{"name":"The Young Royals"}]},true,""
"67083019f5951699062f8e72","Adler","Adler (band)","group_or_band",null,false,""
"6708301af5951699062f8e73","Adler's Appetite","Adler's Appetite","group_or_band",null,false,""
"6706f31715c2b9798b2b0b11","Adolescents","Adolescents (band)","group_or_band",null,true,"RedirectException"
"67082cbd5f2a9b4b88ae0710","Adrenaline Mob","Adrenaline Mob","group_or_band",{"image":"Adrenaline Mob 2011.jpg","caption":"Adrenaline Mob in 2011","image_upright":"1.25","origin":"New York City, U.S.","years_active":"2011–present {{small|(on hiatus since 2017)}}"},true,""
"6706f3fa15c2b9798b2b0c19","Adrian Burley","","person",null,true,"LookupError"
"670832843a9193be0699aa21","Adrian Gautrey","","person",null,false,""
"670832773a9193be0699aa04","Adrian Gurvitz","Adrian Gurvitz","person",null,false,""
"670832f03a9193be0699aad6","Adrian Wilkinson","","person",null,false,""
"6706f27e15c2b9798b2b0a34","Adrián Terrazas-González","Adrián Terrazas-González","person",{"image":"Adrián Terrazas-González.JPG","caption":"Terrazas-González in 2008","birth_name":"Adrián Terrazas González","occupation":[{"name":"Musician"}],"instrument":[{"name":"Flute"},{"name":"saxophone"},{"name":"clarinet"},{"name":"percussion"}],"years_active":"1996–present","associated_acts":[{"link":"The Mars Volta","name":"The Mars Volta"},{"link":"Omar Rodriguez Lopez Group","name":"Omar Rodriguez Lopez Group"},{"link":"Big Sir (band)","name":"Big Sir"}]},true,""
"67082d3c5f2a9b4b88ae078a","Against Me!","Against Me!","group_or_band",{"image":"Against Me! at SPIN party at Stubb's SXSW 2014--60 (15667962708).jpg","landscape":"yes","caption":"Against Me! performing at [[South by Southwest]] in 2014","origin":"[[Naples, Florida]], US","discography":"[[Against Me! discography]]","years_active":"1997–2020 (indefinite hiatus)","website":"{{URL|againstme.net}}"},true,""
"6777fbd31ea44d07c041e068","Agnostic Front","Agnostic Front","group_or_band",null,false,""
"6706f45b15c2b9798b2b0c8a","Airrace","","group_or_band",null,true,"LookupError"
"67082eae5f2a9b4b88ae08f3","Al Atkins","Al Atkins","person",null,false,""
"670830a6f5951699062f8f15","Al Pitrelli","Al Pitrelli","person",null,false,""
"6706f0e045fe7efa4ac730d2","Alain Johannes","Alain Johannes","person",{"image":"Cumbre del Rock Chileno - Alain Johannes - 01.jpg","caption":"Johannes in 2018","birth_name":"Alain Johannes Mociulski","birth_place":"[[Santiago de Chile|Santiago]], Chile","birth_date":"{{birth date and age|1962|05|02}}","occupation":[{"link":"Musician","name":"Musician"},{"link":"songwriter","name":"songwriter"},{"link":"record producer","name":"producer"},{"link":"audio engineering","name":"recording engineer"}],"years_active":"1980s&ndash;present","instrument":[{"link":"Singing","name":"Vocals"},{"link":"guitar","name":"guitar"},{"link":"bass guitar","name":"bass guitar"},{"link":"Keyboard instruments","name":"keyboards"},{"link":"saxophone","name":"saxophone"}],"associated_acts":[{"link":"Eleven (band)","name":"Eleven"},{"link":"Queens of the Stone Age","name":"Queens of the Stone Age"},{"link":"Desert Sessions","name":"Desert Sessions"},{"link":"Anthym","name":"Anthym"},{"link":"What Is This?","name":"What Is This?"},{"link":"Them Crooked Vultures","name":"Them Crooked Vultures"},{"link":"Eagles of Death Metal","name":"Eagles of Death Metal"},{"link":"Chris Cornell","name":"Chris Cornell"},{"link":"Arctic Monkeys","name":"Arctic Monkeys"},{"link":"Firekind","name":"Firekind"},{"link":"PJ Harvey","name":"PJ Harvey"},{"link":"Sound City Players","name":"Sound City Players"},{"link":"Ten Commandos","name":"Ten Commandos"},{"link":"Big Scenic Nowhere","name":"Big Scenic Nowhere"}],"website":"{{URL|alainjohannes.com}}"},true,""
"670832bd3a9193be0699aa7a","Alan Caddy","Alan Caddy","person",null,false,""
"6706f2f715c2b9798b2b0ad5","Alan Glen","Alan Glen","person",{"image":"AlanGlen2.jpg","origin":"[[Wuppertal]], [[West Germany]]","birth_date":"{{birth date and age|1951|12|21|df=y}}","instrument":[{"link":"Harmonica","name":"Harmonica"},{"link":"Guitar","name":"Guitar"}],"occupation":[{"link":"Musician","name":"Musician"},{"link":"songwriter","name":"songwriter"}],"associated_acts":[{"link":"Nine Below Zero","name":"Nine Below Zero"},{"link":"The Yardbirds","name":"The Yardbirds"},{"name":"The Barcodes"},{"link":"Little Axe","name":"Little Axe"},{"name":"The Incredible Blues Puppies"},{"name":"Steve Morrison"}]},true,""
"670832b73a9193be0699aa6f","Alan Hawkshaw","Alan Hawkshaw","person",null,false,""
"670832b83a9193be0699aa72","Alan Jones","","person",null,false,""
"670831cef5951699062f9043","Alan Mansfield","","person",null,false,""
"67082eaf5f2a9b4b88ae08f5","Alan Moore","Alan Moore (drummer)","person",null,false,""
"6706f54315c2b9798b2b0db0","Alan Myers","Alan Myers (drummer)","person",null,true,"NoMusicalInfoboxException"
"67082e1a5f2a9b4b88ae0865","Alan Price & The Electric Blues Company","Alan Price","group_or_band",null,false,""
"670832a03a9193be0699aa56","Alan Rosenthal","","person",null,false,""
"670832b83a9193be0699aa71","Alan Tarney","Alan Tarney","person",null,false,""
